start_time,date,reserve,reserve_usd
1742342400000,2025-03-19,2464856.78090028,213981885845.57388
1742428800000,2025-03-20,2465868.66060691,207717218974.44415
1742515200000,2025-03-21,2462066.17798355,206927150129.5115
1742601600000,2025-03-22,2461185.09819592,206332476875.9204
1742688000000,2025-03-23,2459825.5964079,210923980738.2188
1742774400000,2025-03-24,2450742.58395408,214550235563.66568
1742860800000,2025-03-25,2426130.30014821,212255110843.80695
1742947200000,2025-03-26,2426337.85075659,210773484934.4664
1743033600000,2025-03-27,2425290.86423094,211554408797.2354
1743120000000,2025-03-28,2419603.16219014,204168999732.8234
1743206400000,2025-03-29,2420926.16275517,199957623043.40195
1743292800000,2025-03-30,2424601.73732838,199459529957.7315
1743379200000,2025-03-31,2439941.78438563,200919842091.7819
1743465600000,2025-04-01,2438750.14537128,207771170786.38287
1743552000000,2025-04-02,2438392.79024631,201206570856.53973
1743638400000,2025-04-03,2429063.08496776,201865174266.64032
1743724800000,2025-04-04,2428943.15967714,203596025032.5673
1743811200000,2025-04-05,2432580.11622945,202678091682.3914
1743897600000,2025-04-06,2436632.10390304,190325842422.60873
1743984000000,2025-04-07,2433789.82312319,193981890176.72455
