start_time,v
1430697600000,257173
1430784000000,262609
1430870400000,271987
1430956800000,261264
1431043200000,296068
1431129600000,234770
1431216000000,270181
1431302400000,266033
1431388800000,273863
1431475200000,248544
1431561600000,237771
1431648000000,246249
1431734400000,263189
1431820800000,259001
1431907200000,245347
1431993600000,255285
1432080000000,256932
1432166400000,237415
1432252800000,246875
1432339200000,221645
1432425600000,288673
1432512000000,260187
1432598400000,270564
1432684800000,260321
1432771200000,255874
1432857600000,293321
1432944000000,310793
1433030400000,294881
1433116800000,310466
1433203200000,306627
1433289600000,292587
1433376000000,277168
1433462400000,264050
1433548800000,267406
1433635200000,260400
1433721600000,247864
1433808000000,282605
1433894400000,360702
1433980800000,283446
1434067200000,300369
1434153600000,282277
1434240000000,290642
1434326400000,320698
1434412800000,280181
1434499200000,322850
1434585600000,282417
1434672000000,294648
1434758400000,263083
1434844800000,280816
1434931200000,265745
1435017600000,300853
1435104000000,267798
1435190400000,231660
1435276800000,291029
1435363200000,295366
1435449600000,272245
1435536000000,289714
1435622400000,313478
1435708800000,308851
1435795200000,315535
1435881600000,301043
1435968000000,276423
1436054400000,307139
1436140800000,341638
1436227200000,324535
1436313600000,322632
1436400000000,327481
1436486400000,321441
1436572800000,319286
1436659200000,318924
1436745600000,296078
1436832000000,284642
1436918400000,274614
1437004800000,275276
1437091200000,252952
1437177600000,256839
1437264000000,289591
1437350400000,283549
1437436800000,305890
1437523200000,294750
1437609600000,256065
1437696000000,272910
1437782400000,243517
1437868800000,298289
1437955200000,284824
1438041600000,297652
1438128000000,320946
1438214400000,275749
1438300800000,303066
1438387200000,298217
1438473600000,298112
1438560000000,297939
1438646400000,292546
1438732800000,316448
1438819200000,295316
1438905600000,272698
1438992000000,272741
1439078400000,267531
1439164800000,292493
1439251200000,268340
1439337600000,277300
1439424000000,275714
1439510400000,272154
1439596800000,267994
1439683200000,279064
1439769600000,283517
1439856000000,301545
1439942400000,287773
1440028800000,276994
1440115200000,281754
1440201600000,297466
1440288000000,287767
1440374400000,307648
1440460800000,288087
1440547200000,284593
1440633600000,277908
1440720000000,296513
1440806400000,287424
1440892800000,284453
1440979200000,304369
1441065600000,307714
1441152000000,290242
1441238400000,302349
1441324800000,265409
1441411200000,318433
1441497600000,294300
1441584000000,317383
1441670400000,334224
1441756800000,302786
1441843200000,286401
1441929600000,316636
1442016000000,274291
1442102400000,322264
1442188800000,307621
1442275200000,326571
1442361600000,298636
1442448000000,316808
1442534400000,314185
1442620800000,270846
1442707200000,341327
1442793600000,350548
1442880000000,355307
1442966400000,294614
1443052800000,295353
1443139200000,294645
1443225600000,309596
1443312000000,326485
1443398400000,302523
