start_time,v
1430697600000,128101
1430784000000,145584
1430870400000,148616
1430956800000,142856
1431043200000,141782
1431129600000,116960
1431216000000,107359
1431302400000,142592
1431388800000,147133
1431475200000,137015
1431561600000,133789
1431648000000,133325
1431734400000,126350
1431820800000,105442
1431907200000,123903
1431993600000,141091
1432080000000,139790
1432166400000,129167
1432252800000,130866
1432339200000,106249
1432425600000,117526
1432512000000,129085
1432598400000,140431
1432684800000,141840
1432771200000,139761
1432857600000,159402
1432944000000,163372
1433030400000,136818
1433116800000,170631
1433203200000,169879
1433289600000,168780
1433376000000,156440
1433462400000,147767
1433548800000,125102
1433635200000,107852
1433721600000,115548
1433808000000,155624
1433894400000,192036
1433980800000,161386
1434067200000,166810
1434153600000,129095
1434240000000,140831
1434326400000,174360
1434412800000,156823
1434499200000,182691
1434585600000,161908
1434672000000,167981
1434758400000,126704
1434844800000,119415
1434931200000,143677
1435017600000,168194
1435104000000,150210
1435190400000,117381
1435276800000,169677
1435363200000,149291
1435449600000,124027
1435536000000,153085
1435622400000,186677
1435708800000,171093
1435795200000,186641
1435881600000,169804
1435968000000,135535
1436054400000,152765
1436140800000,207881
1436227200000,208141
1436313600000,211758
1436400000000,188760
1436486400000,189298
1436572800000,170741
1436659200000,163128
1436745600000,163594
1436832000000,156297
1436918400000,151087
1437004800000,147597
1437091200000,140546
1437177600000,127382
1437264000000,116045
1437350400000,162259
1437436800000,183610
1437523200000,173951
1437609600000,145672
1437696000000,146905
1437782400000,124521
1437868800000,125517
1437955200000,150434
1438041600000,154439
1438128000000,186426
1438214400000,161339
1438300800000,171377
1438387200000,149232
1438473600000,125714
1438560000000,148841
1438646400000,169884
1438732800000,175285
1438819200000,164354
1438905600000,146370
1438992000000,135445
1439078400000,108041
1439164800000,145061
1439251200000,148776
1439337600000,156114
1439424000000,153064
1439510400000,149215
1439596800000,133137
1439683200000,121284
1439769600000,152258
1439856000000,162352
1439942400000,160228
1440028800000,150948
1440115200000,163653
1440201600000,160983
1440288000000,132213
1440374400000,161851
1440460800000,155998
1440547200000,155265
1440633600000,157523
1440720000000,160193
1440806400000,142995
1440892800000,127562
1440979200000,158971
1441065600000,165984
1441152000000,176807
1441238400000,165324
1441324800000,140105
1441411200000,160650
1441497600000,137809
1441584000000,172497
1441670400000,184012
1441756800000,178600
1441843200000,162582
1441929600000,186378
1442016000000,148976
1442102400000,136864
1442188800000,165121
1442275200000,173677
1442361600000,166784
1442448000000,172711
1442534400000,169977
1442620800000,144080
1442707200000,163052
1442793600000,205811
1442880000000,206390
1442966400000,162170
1443052800000,161244
1443139200000,163639
1443225600000,140859
1443312000000,133054
1443398400000,163833
1443484800000,178536
1443571200000,163508
1443657600000,158251
1443744000000,164283
1443830400000,138097
1443916800000,117637
1444003200000,135370
1444089600000,150756
1444176000000,159347
1444262400000,178804
1444348800000,129581
1444435200000,144590
1444521600000,114347
1444608000000,140604
1444694400000,145358
1444780800000,165745
1444867200000,199779
1444953600000,177353
1445040000000,170687
1445126400000,150129
1445212800000,182572
1445299200000,189956
1445385600000,189330
1445472000000,184776
1445558400000,182474
1445644800000,185479
1445731200000,168272
1445817600000,164179
1445904000000,176728
1445990400000,178014
1446076800000,182207
1446163200000,189623
1446249600000,181241
1446336000000,169685
1446422400000,202715
1446508800000,237515
1446595200000,265096
1446681600000,228340
1446768000000,211531
1446854400000,192621
1446940800000,182728
1447027200000,196682
1447113600000,198473
1447200000000,195207
1447286400000,190213
1447372800000,188292
1447459200000,179609
1447545600000,175518
1447632000000,194167
1447718400000,202673
1447804800000,219712
1447891200000,191642
1447977600000,186434
1448064000000,182139
1448150400000,161985
1448236800000,177090
1448323200000,195301
1448409600000,188472
1448496000000,193859
1448582400000,180545
1448668800000,192933
1448755200000,146065
1448841600000,230417
1448928000000,219973
1449014400000,224812
1449100800000,189606
1449187200000,201677
1449273600000,224737
1449360000000,199844
1449446400000,220900
1449532800000,229191
1449619200000,271309
1449705600000,293034
1449792000000,264591
1449878400000,277607
1449964800000,223722
1450051200000,267696
1450137600000,261672
1450224000000,254307
1450310400000,245116
1450396800000,244758
1450483200000,252989
1450569600000,225370
1450656000000,254723
1450742400000,248114
1450828800000,253460
1450915200000,237056
1451001600000,195104
1451088000000,187000
1451174400000,172001
1451260800000,201780
1451347200000,211750
1451433600000,206470
1451520000000,182179
1451606400000,145528
1451692800000,181390
1451779200000,172920
1451865600000,214810
1451952000000,221131
1452038400000,205167
1452124800000,226692
1452211200000,216202
1452297600000,221115
1452384000000,203417
1452470400000,231149
1452556800000,236785
1452643200000,223170
1452729600000,223873
1452816000000,220897
1452902400000,254062
1452988800000,246802
1453075200000,252982
1453161600000,210731
1453248000000,269194
1453334400000,272176
1453420800000,259713
1453507200000,236432
1453593600000,236103
1453680000000,274372
1453766400000,287517
1453852800000,279207
1453939200000,293254
1454025600000,293274
1454112000000,249856
1454198400000,223724
1454284800000,280629
1454371200000,322860
1454457600000,247562
1454544000000,248311
1454630400000,272569
1454716800000,265518
1454803200000,272588
1454889600000,261544
1454976000000,276637
1455062400000,274343
1455148800000,279254
1455235200000,266698
1455321600000,238371
1455408000000,226306
1455494400000,260749
1455580800000,258485
1455667200000,290813
1455753600000,268864
1455840000000,266272
1455926400000,256778
1456012800000,237537
1456099200000,281800
1456185600000,281697
1456272000000,245855
1456358400000,264518
1456444800000,243175
1456531200000,233325
1456617600000,269344
1456704000000,279271
1456790400000,287568
1456876800000,299552
1456963200000,237411
1457049600000,231294
1457136000000,248257
1457222400000,179107
1457308800000,205091
1457395200000,234811
1457481600000,220717
1457568000000,223217
1457654400000,220422
1457740800000,196516
1457827200000,181385
1457913600000,218784
1458000000000,228028
1458086400000,244745
1458172800000,240987
1458259200000,234138
1458345600000,206161
1458432000000,207820
1458518400000,223171
1458604800000,235751
1458691200000,221312
1458777600000,215570
1458864000000,200694
1458950400000,179322
1459036800000,175069
1459123200000,212024
1459209600000,219340
1459296000000,225363
1459382400000,220148
1459468800000,228033
1459555200000,204903
1459641600000,199526
1459728000000,237721
1459814400000,235848
1459900800000,241663
1459987200000,232527
1460073600000,225591
1460160000000,211233
1460246400000,200421
1460332800000,230428
1460419200000,255528
1460505600000,241141
1460592000000,240589
1460678400000,220995
1460764800000,199902
1460851200000,211892
1460937600000,229748
1461024000000,241409
1461110400000,236507
1461196800000,239508
1461283200000,228679
1461369600000,201689
1461456000000,199886
1461542400000,237672
1461628800000,265262
1461715200000,246366
1461801600000,233167
1461888000000,248819
1461974400000,220758
1462060800000,190714
1462147200000,215762
1462233600000,222591
1462320000000,216958
1462406400000,214432
1462492800000,214989
1462579200000,193044
1462665600000,183364
1462752000000,224435
1462838400000,232138
1462924800000,224970
1463011200000,220272
1463097600000,219933
1463184000000,201211
1463270400000,186172
1463356800000,233618
1463443200000,228539
1463529600000,234722
1463616000000,219019
1463702400000,205104
1463788800000,191131
1463875200000,176868
1463961600000,220330
1464048000000,235069
1464134400000,235385
1464220800000,223188
1464307200000,231655
1464393600000,212858
1464480000000,187801
1464566400000,221349
1464652800000,226702
1464739200000,241984
1464825600000,233295
1464912000000,241706
1464998400000,200854
1465084800000,196131
1465171200000,235941
1465257600000,246021
1465344000000,237957
1465430400000,253173
1465516800000,243463
1465603200000,217935
1465689600000,215516
1465776000000,260602
1465862400000,256777
1465948800000,272736
1466035200000,277533
1466121600000,270576
1466208000000,244420
1466294400000,222856
1466380800000,265089
1466467200000,268803
1466553600000,249235
1466640000000,261294
1466726400000,256534
1466812800000,221625
1466899200000,194844
1466985600000,234512
1467072000000,248560
1467158400000,239707
1467244800000,252446
1467331200000,231671
1467417600000,216007
1467504000000,194232
1467590400000,233483
1467676800000,236211
1467763200000,239340
1467849600000,242063
1467936000000,225259
1468022400000,208128
1468108800000,183058
1468195200000,232450
1468281600000,242724
1468368000000,232923
1468454400000,233885
1468540800000,229791
1468627200000,206238
1468713600000,186229
1468800000000,234079
1468886400000,228428
1468972800000,239129
1469059200000,224952
1469145600000,229590
1469232000000,203286
1469318400000,190716
1469404800000,241479
1469491200000,247378
1469577600000,241495
1469664000000,240509
1469750400000,230008
1469836800000,205072
1469923200000,198239
1470009600000,240714
1470096000000,269215
1470182400000,258904
1470268800000,245544
1470355200000,245330
1470441600000,213754
1470528000000,192456
1470614400000,242012
1470700800000,250578
1470787200000,260916
1470873600000,267853
1470960000000,247875
1471046400000,223590
1471132800000,205806
1471219200000,217327
1471305600000,270020
1471392000000,262011
1471478400000,262388
1471564800000,261845
1471651200000,245108
1471737600000,210787
1471824000000,253931
1471910400000,265732
