start_time,v
1270818000000,93956263.79418416
1270821600000,58764006.65164379
1270825200000,89298295.87224095
1270828800000,57302108.61460494
1270832400000,44589577.978680715
1270836000000,51932577.361015245
1270839600000,65403626.6295569
1270843200000,43738577.58614791
1270846800000,88027811.25513335
1270850400000,31133918.155850716
1270854000000,67694701.6105586
1270857600000,140563082.53751424
1270861200000,73130733.8887428
1270864800000,67976396.07759865
1270868400000,111000527.85321352
1270872000000,89565784.17763346
1270875600000,64615387.6188793
1270879200000,113310365.42703764
1270882800000,58586549.26721586
1270886400000,82828281.20652467
1270890000000,64807647.63658982
1270893600000,42974226.06352627
1270897200000,67450127.20473981
1270900800000,88991911.10601525
1270904400000,66475414.38386208
1270908000000,66274292.97454625
1270911600000,18736146.44576106
1270915200000,59823585.01221487
1270918800000,114754058.09948955
1270922400000,56451240.37113752
1270926000000,91708506.28714624
1270929600000,80286558.84116265
1270933200000,100831341.9911032
1270936800000,104131172.47743696
1270940400000,82653660.79639147
1270944000000,35051753.63232456
1270947600000,100013740.91264036
1270951200000,24336056.137650535
1270954800000,48530098.15460391
1270958400000,103971853.05810183
1270962000000,49642781.18107631
1270965600000,71120882.42676646
1270969200000,87074706.1360467
1270972800000,88350166.62029299
1270976400000,87171509.5892274
1270980000000,116232986.7706938
1270983600000,67328501.52456641
1270987200000,33823260.16413675
1270990800000,56260292.141099855
1270994400000,95415108.2361704
1270998000000,63132667.37158618
1271001600000,41695184.60411503
1271005200000,81170572.3348965
1271008800000,89484476.890739
1271012400000,84754306.75826311
1271016000000,51741648.76777622
1271019600000,80994497.34067765
1271023200000,56087820.368748225
1271026800000,36279688.685872845
1271030400000,58001496.348042555
1271034000000,100111966.93985765
1271037600000,34877134.096392676
1271041200000,78382270.2317894
1271044800000,123248621.30699477
1271048400000,69838141.06035185
1271052000000,79499301.77676107
1271055600000,47558739.28849927
1271059200000,77807978.41327366
1271062800000,84069517.76674303
1271066400000,86685388.91033112
1271070000000,71497120.48496826
1271073600000,77545395.36437264
1271077200000,58579835.49037297
1271080800000,104836406.3070239
1271084400000,92319330.25787205
1271088000000,90042285.11478241
1271091600000,46480902.81429356
1271095200000,69106527.46463753
1271098800000,53984019.84723235
1271102400000,80864620.42009753
1271106000000,139287806.5228153
1271109600000,19151742.45265948
1271113200000,56069736.80770257
1271116800000,74490207.59149173
1271120400000,78334162.91035298
1271124000000,70116434.96412075
1271127600000,66244126.91876497
1271131200000,62130128.55039558
1271134800000,79361465.85022172
1271138400000,91814577.22201703
1271142000000,72665020.22460805
1271145600000,64367962.33609978
1271149200000,60561670.900231026
1271152800000,49904565.15276945
1271156400000,90264113.81271358
1271160000000,73791715.7673248
1271163600000,66113725.09412172
1271167200000,62294755.28211365
1271170800000,43180473.576515615
1271174400000,51910003.62876945
1271178000000,28742637.86719199
1271181600000,121504150.79100576
