start_time,v
1270818000000,550
1270821600000,450
1270825200000,650
1270828800000,400
1270832400000,300
1270836000000,350
1270839600000,400
1270843200000,350
1270846800000,600
1270850400000,200
1270854000000,500
1270857600000,900
1270861200000,500
1270864800000,500
1270868400000,750
1270872000000,550
1270875600000,500
1270879200000,750
1270882800000,400
1270886400000,450
1270890000000,500
1270893600000,250
1270897200000,600
1270900800000,500
1270904400000,550
1270908000000,400
1270911600000,100
1270915200000,500
1270918800000,850
1270922400000,400
1270926000000,650
1270929600000,550
1270933200000,700
1270936800000,700
1270940400000,450
1270944000000,300
1270947600000,450
1270951200000,200
1270954800000,350
1270958400000,650
1270962000000,400
1270965600000,500
1270969200000,600
1270972800000,600
1270976400000,600
1270980000000,750
1270983600000,500
1270987200000,200
1270990800000,350
1270994400000,700
1270998000000,400
1271001600000,350
1271005200000,500
1271008800000,600
1271012400000,650
1271016000000,350
1271019600000,500
1271023200000,300
1271026800000,350
1271030400000,400
1271034000000,650
1271037600000,250
1271041200000,550
1271044800000,750
1271048400000,400
1271052000000,650
1271055600000,350
1271059200000,500
1271062800000,400
1271066400000,450
1271070000000,400
1271073600000,450
1271077200000,300
1271080800000,550
1271084400000,500
1271088000000,300
1271091600000,350
1271095200000,300
1271098800000,350
1271102400000,450
1271106000000,400
1271109600000,150
1271113200000,300
1271116800000,400
1271120400000,400
1271124000000,350
1271127600000,300
1271131200000,350
1271134800000,500
1271138400000,500
1271142000000,250
1271145600000,450
1271149200000,350
1271152800000,200
1271156400000,600
1271160000000,350
1271163600000,350
1271167200000,350
1271170800000,250
1271174400000,200
1271178000000,200
1271181600000,600
1271185200000,550
1271188800000,750
1271192400000,400
1271196000000,450
1271199600000,350
1271203200000,250
1271206800000,450
1271210400000,250
1271214000000,300
1271217600000,250
1271221200000,350
1271224800000,350
1271228400000,250
1271232000000,550
1271235600000,450
1271239200000,450
1271242800000,500
1271246400000,550
1271250000000,350
1271253600000,400
1271257200000,600
1271260800000,350
1271264400000,350
1271268000000,400
1271271600000,400
1271275200000,250
1271278800000,250
1271282400000,400
1271286000000,300
1271289600000,450
1271293200000,650
1271296800000,350
1271300400000,250
1271304000000,500
1271307600000,550
1271311200000,550
1271314800000,300
1271318400000,550
1271322000000,400
1271325600000,200
1271329200000,800
1271332800000,500
1271336400000,500
1271340000000,750
1271343600000,200
1271347200000,300
1271350800000,400
1271354400000,300
1271358000000,600
1271361600000,450
1271365200000,200
1271368800000,600
1271372400000,450
1271376000000,300
1271379600000,450
1271383200000,400
1271386800000,150
1271390400000,450
1271394000000,350
1271397600000,500
1271401200000,250
1271404800000,650
1271408400000,200
1271412000000,400
1271415600000,750
1271419200000,300
1271422800000,950
1271426400000,350
1271430000000,250
1271433600000,500
1271437200000,250
1271440800000,750
1271444400000,500
1271448000000,350
1271451600000,700
1271455200000,200
1271458800000,150
1271462400000,550
1271466000000,350
1271469600000,500
1271473200000,400
1271476800000,400
1271480400000,450
1271484000000,300
1271487600000,650
1271491200000,500
1271494800000,550
1271498400000,650
1271502000000,200
1271505600000,550
1271509200000,650
1271512800000,300
1271516400000,300
1271520000000,400
1271523600000,350
1271527200000,450
1271530800000,400
1271534400000,150
1271538000000,500
1271541600000,900
1271545200000,600
1271548800000,500
1271552400000,450
1271556000000,450
1271559600000,600
1271563200000,850
1271566800000,400
1271570400000,800
1271574000000,800
1271577600000,600
1271581200000,550
1271584800000,600
1271588400000,400
1271592000000,450
1271595600000,700
1271599200000,550
1271602800000,450
1271606400000,450
1271610000000,600
1271613600000,500
1271617200000,300
1271620800000,450
1271624400000,300
1271628000000,200
1271631600000,300
1271635200000,150
1271638800000,700
1271642400000,500
1271646000000,400
1271649600000,250
1271653200000,300
1271656800000,350
1271660400000,550
1271664000000,450
1271667600000,800
1271671200000,750
1271674800000,500
1271678400000,400
1271682000000,600
1271685600000,700
1271689200000,500
1271692800000,400
1271696400000,350
1271700000000,900
1271703600000,300
1271707200000,300
1271710800000,650
1271714400000,500
1271718000000,300
1271721600000,300
1271725200000,450
1271728800000,550
1271732400000,300
1271736000000,400
1271739600000,450
1271743200000,550
1271746800000,500
1271750400000,350
1271754000000,400
1271757600000,350
1271761200000,350
1271764800000,300
1271768400000,600
1271772000000,200
1271775600000,600
1271779200000,300
1271782800000,500
1271786400000,200
1271790000000,450
1271793600000,300
1271797200000,600
1271800800000,600
1271804400000,650
1271808000000,500
1271811600000,450
1271815200000,400
1271818800000,650
1271822400000,450
1271826000000,500
1271829600000,750
1271833200000,600
1271836800000,250
1271840400000,150
1271844000000,550
1271847600000,250
1271851200000,500
1271854800000,250
1271858400000,300
1271862000000,450
1271865600000,750
1271869200000,550
1271872800000,200
1271876400000,700
1271880000000,550
1271883600000,750
1271887200000,200
1271890800000,250
1271894400000,200
1271898000000,450
1271901600000,500
1271905200000,200
1271908800000,550
1271912400000,450
1271916000000,300
1271919600000,350
1271923200000,400
1271926800000,300
1271930400000,200
1271934000000,450
1271937600000,650
1271941200000,300
1271944800000,100
1271948400000,200
1271952000000,200
1271955600000,250
1271959200000,200
1271962800000,400
1271966400000,400
1271970000000,300
1271973600000,250
1271977200000,350
1271980800000,150
1271984400000,300
1271988000000,100
1271991600000,550
1271995200000,350
1271998800000,250
1272002400000,250
1272006000000,200
1272009600000,300
1272013200000,300
1272016800000,350
1272020400000,500
1272024000000,500
1272027600000,250
1272031200000,250
1272034800000,250
1272038400000,300
1272042000000,600
1272045600000,200
1272049200000,400
1272052800000,150
1272056400000,400
1272060000000,250
1272063600000,350
1272067200000,300
1272070800000,200
1272074400000,250
1272078000000,200
1272081600000,300
1272085200000,350
1272088800000,350
1272092400000,300
1272096000000,200
1272099600000,300
1272103200000,600
1272106800000,200
1272110400000,150
1272114000000,300
1272117600000,450
1272121200000,400
1272124800000,400
1272128400000,300
1272132000000,500
1272135600000,550
1272139200000,600
1272142800000,300
1272146400000,350
1272150000000,550
1272153600000,150
1272157200000,350
1272160800000,300
1272164400000,450
1272168000000,150
1272171600000,400
1272175200000,250
1272178800000,350
1272182400000,300
1272186000000,350
1272189600000,200
1272193200000,150
1272196800000,500
1272200400000,150
1272204000000,400
1272207600000,600
1272211200000,150
1272214800000,250
1272218400000,450
1272222000000,450
1272225600000,600
1272229200000,350
1272232800000,450
1272236400000,150
1272240000000,350
1272243600000,400
1272247200000,400
1272250800000,500
1272254400000,250
1272258000000,50
1272261600000,400
1272265200000,350
1272268800000,400
1272272400000,450
1272276000000,250
1272279600000,500
1272283200000,350
1272286800000,300
1272290400000,500
1272294000000,300
1272297600000,200
1272301200000,250
1272304800000,150
1272308400000,300
1272312000000,400
1272315600000,450
1272319200000,300
1272322800000,400
1272326400000,350
1272330000000,300
1272333600000,350
1272337200000,350
1272340800000,250
1272344400000,250
1272348000000,350
1272351600000,500
1272355200000,500
1272358800000,300
1272362400000,450
1272366000000,400
1272369600000,550
1272373200000,250
1272376800000,400
1272380400000,250
1272384000000,200
1272387600000,400
1272391200000,450
1272394800000,600
1272398400000,350
1272402000000,350
1272405600000,500
1272409200000,350
1272412800000,800
1272416400000,350
1272420000000,350
1272423600000,200
1272427200000,250
1272430800000,350
1272434400000,350
1272438000000,300
1272441600000,400
1272445200000,200
1272448800000,250
1272452400000,450
1272456000000,550
1272459600000,250
1272463200000,300
1272466800000,400
1272470400000,300
1272474000000,200
1272477600000,450
1272481200000,550
1272484800000,450
1272488400000,400
1272492000000,400
1272495600000,500
1272499200000,300
1272502800000,500
1272506400000,150
1272510000000,350
1272513600000,350
1272517200000,50
1272520800000,350
1272524400000,150
1272528000000,300
1272531600000,450
1272535200000,400
1272538800000,150
1272542400000,300
1272546000000,250
1272549600000,300
1272553200000,200
1272556800000,450
1272560400000,150
1272564000000,400
1272567600000,550
1272571200000,250
1272574800000,350
1272578400000,350
1272582000000,300
1272585600000,400
1272589200000,300
1272592800000,450
1272596400000,250
1272600000000,200
1272603600000,450
1272607200000,50
1272610800000,300
1272614400000,250
1272618000000,400
1272621600000,350
1272625200000,300
1272628800000,250
1272632400000,250
1272636000000,400
1272639600000,350
1272643200000,250
1272646800000,250
1272650400000,100
1272654000000,350
1272657600000,400
1272661200000,350
1272664800000,200
1272668400000,350
1272672000000,300
1272675600000,400
1272679200000,500
1272682800000,350
1272686400000,400
1272690000000,400
1272693600000,250
1272697200000,150
1272700800000,500
1272704400000,450
1272708000000,150
1272711600000,550
1272715200000,350
1272718800000,450
1272722400000,100
1272726000000,300
1272729600000,450
1272733200000,350
1272736800000,550
1272740400000,600
1272744000000,400
1272747600000,450
1272751200000,300
1272754800000,450
1272758400000,150
1272762000000,250
1272765600000,250
1272769200000,400
1272772800000,550
1272776400000,350
