start_time,date,tokens_transferred_mean,tokens_transferred_median,tokens_transferred_total
1230940800000,2009-01-03,,0,0
1231027200000,2009-01-04,,0,0
1231113600000,2009-01-05,,0,0
1231200000000,2009-01-06,,0,0
1231286400000,2009-01-07,,0,0
1231372800000,2009-01-08,,0,0
1231459200000,2009-01-09,,0,0
1231545600000,2009-01-10,,0,0
1231632000000,2009-01-11,,0,0
1231718400000,2009-01-12,25.57142857,29,179
1231804800000,2009-01-13,,0,0
1231891200000,2009-01-14,61,61,61
1231977600000,2009-01-15,62.5,37.5,500
1232064000000,2009-01-16,100,100,200
1232150400000,2009-01-17,,0,0
1232236800000,2009-01-18,150,150,150
1232323200000,2009-01-19,387.5,387.5,775
1232409600000,2009-01-20,400,400,400
1232496000000,2009-01-21,100,100,100
1232582400000,2009-01-22,500,500,500
1232668800000,2009-01-23,225,225,450
1232755200000,2009-01-24,500,500,500
1232841600000,2009-01-25,50,50,50
1232928000000,2009-01-26,1000,1000,1000
1233014400000,2009-01-27,150,150,150
1233100800000,2009-01-28,,0,0
1233187200000,2009-01-29,600,600,600
1233273600000,2009-01-30,,0,0
1233360000000,2009-01-31,1000,1000,1000
1233446400000,2009-02-01,100,100,100
1233532800000,2009-02-02,50,50,50
1233619200000,2009-02-03,46.0325,49.975,736.52
1233705600000,2009-02-04,,0,0
1233792000000,2009-02-05,,0,0
1233878400000,2009-02-06,,0,0
1233964800000,2009-02-07,299.5,174,1198
1234051200000,2009-02-08,1000,1000,1000
1234137600000,2009-02-09,2200,2200,2200
1234224000000,2009-02-10,,0,0
1234310400000,2009-02-11,275.02,275.02,550.04
1234396800000,2009-02-12,,0,0
1234483200000,2009-02-13,,0,0
1234569600000,2009-02-14,,0,0
1234656000000,2009-02-15,300,250,900
1234742400000,2009-02-16,1500,1500,1500
1234828800000,2009-02-17,,0,0
1234915200000,2009-02-18,,0,0
1235001600000,2009-02-19,800,800,800
1235088000000,2009-02-20,,0,0
1235174400000,2009-02-21,,0,0
1235260800000,2009-02-22,262.5,300,1050
1235347200000,2009-02-23,,0,0
1235433600000,2009-02-24,,0,0
1235520000000,2009-02-25,,0,0
1235606400000,2009-02-26,,0,0
1235692800000,2009-02-27,1800,1800,1800
1235779200000,2009-02-28,350,350,350
1235865600000,2009-03-01,,0,0
1235952000000,2009-03-02,,0,0
1236038400000,2009-03-03,200,200,400
1236124800000,2009-03-04,625,625,1250
1236211200000,2009-03-05,400,400,400
1236297600000,2009-03-06,,0,0
1236384000000,2009-03-07,,0,0
1236470400000,2009-03-08,516.66666667,300,1550
1236556800000,2009-03-09,,0,0
1236643200000,2009-03-10,,0,0
1236729600000,2009-03-11,,0,0
1236816000000,2009-03-12,150,150,150
1236902400000,2009-03-13,750,750,750
1236988800000,2009-03-14,,0,0
1237075200000,2009-03-15,,0,0
1237161600000,2009-03-16,2400,2400,2400
1237248000000,2009-03-17,,0,0
1237334400000,2009-03-18,350,350,700
1237420800000,2009-03-19,,0,0
1237507200000,2009-03-20,600,600,600
1237593600000,2009-03-21,,0,0
1237680000000,2009-03-22,275,275,550
1237766400000,2009-03-23,,0,0
1237852800000,2009-03-24,,0,0
1237939200000,2009-03-25,,0,0
1238025600000,2009-03-26,1400,1400,1400
1238112000000,2009-03-27,,0,0
1238198400000,2009-03-28,333.33333333,150,1000
1238284800000,2009-03-29,,0,0
1238371200000,2009-03-30,,0,0
1238457600000,2009-03-31,1600,1600,1600
1238544000000,2009-04-01,,0,0
1238630400000,2009-04-02,,0,0
1238716800000,2009-04-03,,0,0
1238803200000,2009-04-04,,0,0
1238889600000,2009-04-05,425,425,850
1238976000000,2009-04-06,,0,0
1239062400000,2009-04-07,,0,0
1239148800000,2009-04-08,,0,0
1239235200000,2009-04-09,,0,0
1239321600000,2009-04-10,,0,0
1239408000000,2009-04-11,350,350,350
1239494400000,2009-04-12,475,475,950
1239580800000,2009-04-13,50,50,50
1239667200000,2009-04-14,,0,0
1239753600000,2009-04-15,,0,0
1239840000000,2009-04-16,,0,0
1239926400000,2009-04-17,,0,0
1240012800000,2009-04-18,45.6275,50,182.51
1240099200000,2009-04-19,400,400,400
1240185600000,2009-04-20,2875,2875,5750
1240272000000,2009-04-21,50,50,50
1240358400000,2009-04-22,,0,0
1240444800000,2009-04-23,,0,0
1240531200000,2009-04-24,,0,0
1240617600000,2009-04-25,,0,0
1240704000000,2009-04-26,375,375,750
1240790400000,2009-04-27,,0,0
1240876800000,2009-04-28,,0,0
1240963200000,2009-04-29,1000,1000,1000
1241049600000,2009-04-30,,0,0
1241136000000,2009-05-01,,0,0
1241222400000,2009-05-02,374.97,374.97,749.94
1241308800000,2009-05-03,36.66666667,35,110
1241395200000,2009-05-04,1500,1500,1500
1241481600000,2009-05-05,500,500,500
1241568000000,2009-05-06,,0,0
1241654400000,2009-05-07,,0,0
1241740800000,2009-05-08,,0,0
1241827200000,2009-05-09,,0,0
1241913600000,2009-05-10,,0,0
1242000000000,2009-05-11,100,100,100
1242086400000,2009-05-12,,0,0
1242172800000,2009-05-13,30.002,49,150.01
1242259200000,2009-05-14,66.66333333,50,199.99
1242345600000,2009-05-15,500,500,500
1242432000000,2009-05-16,,0,0
1242518400000,2009-05-17,,0,0
1242604800000,2009-05-18,,0,0
1242691200000,2009-05-19,,0,0
1242777600000,2009-05-20,,0,0
1242864000000,2009-05-21,,0,0
1242950400000,2009-05-22,,0,0
1243036800000,2009-05-23,,0,0
1243123200000,2009-05-24,,0,0
1243209600000,2009-05-25,,0,0
1243296000000,2009-05-26,,0,0
1243382400000,2009-05-27,,0,0
1243468800000,2009-05-28,,0,0
1243555200000,2009-05-29,3000,3000,3000
1243641600000,2009-05-30,,0,0
1243728000000,2009-05-31,,0,0
1243814400000,2009-06-01,50,50,50
1243900800000,2009-06-02,,0,0
1243987200000,2009-06-03,,0,0
1244073600000,2009-06-04,,0,0
1244160000000,2009-06-05,,0,0
1244246400000,2009-06-06,,0,0
1244332800000,2009-06-07,,0,0
1244419200000,2009-06-08,,0,0
1244505600000,2009-06-09,,0,0
1244592000000,2009-06-10,,0,0
1244678400000,2009-06-11,,0,0
1244764800000,2009-06-12,,0,0
1244851200000,2009-06-13,,0,0
1244937600000,2009-06-14,,0,0
1245024000000,2009-06-15,,0,0
1245110400000,2009-06-16,,0,0
1245196800000,2009-06-17,,0,0
1245283200000,2009-06-18,,0,0
1245369600000,2009-06-19,,0,0
1245456000000,2009-06-20,,0,0
1245542400000,2009-06-21,,0,0
1245628800000,2009-06-22,3000,3000,3000
1245715200000,2009-06-23,,0,0
1245801600000,2009-06-24,74.49,74.49,148.98
1245888000000,2009-06-25,1000,1000,1000
1245974400000,2009-06-26,,0,0
1246060800000,2009-06-27,,0,0
1246147200000,2009-06-28,50,50,50
1246233600000,2009-06-29,50,50,50
1246320000000,2009-06-30,95,95,95
1246406400000,2009-07-01,100,100,100
1246492800000,2009-07-02,50,50,50
1246579200000,2009-07-03,,0,0
1246665600000,2009-07-04,,0,0
1246752000000,2009-07-05,,0,0
1246838400000,2009-07-06,,0,0
1246924800000,2009-07-07,,0,0
1247011200000,2009-07-08,,0,0
1247097600000,2009-07-09,,0,0
1247184000000,2009-07-10,,0,0
1247270400000,2009-07-11,,0,0
1247356800000,2009-07-12,,0,0
1247443200000,2009-07-13,,0,0
1247529600000,2009-07-14,,0,0
1247616000000,2009-07-15,,0,0
1247702400000,2009-07-16,,0,0
1247788800000,2009-07-17,,0,0
1247875200000,2009-07-18,,0,0
1247961600000,2009-07-19,,0,0
1248048000000,2009-07-20,6049.67,6049.67,6049.67
1248134400000,2009-07-21,,0,0
1248220800000,2009-07-22,,0,0
1248307200000,2009-07-23,,0,0
1248393600000,2009-07-24,,0,0
1248480000000,2009-07-25,,0,0
1248566400000,2009-07-26,,0,0
1248652800000,2009-07-27,,0,0
1248739200000,2009-07-28,,0,0
1248825600000,2009-07-29,100,100,100
1248912000000,2009-07-30,50,50,50
1248998400000,2009-07-31,,0,0
1249084800000,2009-08-01,,0,0
1249171200000,2009-08-02,,0,0
1249257600000,2009-08-03,,0,0
1249344000000,2009-08-04,,0,0
1249430400000,2009-08-05,,0,0
1249516800000,2009-08-06,,0,0
1249603200000,2009-08-07,5549.53,5549.53,5549.53
1249689600000,2009-08-08,,0,0
1249776000000,2009-08-09,,0,0
1249862400000,2009-08-10,,0,0
1249948800000,2009-08-11,,0,0
1250035200000,2009-08-12,,0,0
1250121600000,2009-08-13,,0,0
1250208000000,2009-08-14,,0,0
1250294400000,2009-08-15,,0,0
1250380800000,2009-08-16,,0,0
1250467200000,2009-08-17,,0,0
1250553600000,2009-08-18,,0,0
1250640000000,2009-08-19,,0,0
1250726400000,2009-08-20,,0,0
1250812800000,2009-08-21,,0,0
1250899200000,2009-08-22,,0,0
1250985600000,2009-08-23,,0,0
1251072000000,2009-08-24,,0,0
1251158400000,2009-08-25,,0,0
1251244800000,2009-08-26,782.68666667,498.53,2348.06
1251331200000,2009-08-27,,0,0
1251417600000,2009-08-28,,0,0
1251504000000,2009-08-29,,0,0
1251590400000,2009-08-30,50,50,50
1251676800000,2009-08-31,300,300,300
1251763200000,2009-09-01,,0,0
1251849600000,2009-09-02,,0,0
1251936000000,2009-09-03,700,700,700
1252022400000,2009-09-04,,0,0
1252108800000,2009-09-05,,0,0
1252195200000,2009-09-06,,0,0
1252281600000,2009-09-07,650,650,650
1252368000000,2009-09-08,,0,0
1252454400000,2009-09-09,,0,0
1252540800000,2009-09-10,,0,0
1252627200000,2009-09-11,,0,0
1252713600000,2009-09-12,,0,0
1252800000000,2009-09-13,,0,0
