start_time,v
1313539200000,0
1313625600000,1
1313712000000,0
1313798400000,2
1313884800000,0
1313971200000,2
1314057600000,1
1314144000000,0
1314230400000,2
1314316800000,0
1314403200000,0
1314489600000,0
1314576000000,0
1314662400000,0
1314748800000,0
1314835200000,0
1314921600000,0
1315008000000,0
1315094400000,1
1315180800000,0
1315267200000,0
1315353600000,0
1315440000000,0
1315526400000,0
1315612800000,0
1315699200000,0
1315785600000,1
1315872000000,0
1315958400000,0
1316044800000,0
1316131200000,0
1316217600000,0
1316304000000,0
1316390400000,0
1316476800000,0
1316563200000,2
1316649600000,0
1316736000000,0
1316822400000,0
1316908800000,0
1316995200000,0
1317081600000,1
1317168000000,0
1317254400000,0
1317340800000,0
1317427200000,0
1317513600000,0
1317600000000,0
1317686400000,0
1317772800000,0
1317859200000,2
1317945600000,1
1318032000000,0
1318118400000,0
1318204800000,1
1318291200000,2
1318377600000,0
1318464000000,0
1318550400000,0
1318636800000,0
1318723200000,0
1318809600000,1
1318896000000,0
1318982400000,0
1319068800000,0
1319155200000,0
1319241600000,0
1319328000000,0
1319414400000,0
1319500800000,0
1319587200000,3
1319673600000,1
1319760000000,0
1319846400000,2
1319932800000,0
1320019200000,1
1320105600000,0
1320192000000,0
1320278400000,0
1320364800000,1
1320451200000,2
1320537600000,1
1320624000000,1
1320710400000,1
1320796800000,0
1320883200000,5
1320969600000,0
1321056000000,1
1321142400000,0
1321228800000,2
1321315200000,8
1321401600000,9
1321488000000,1
1321574400000,1
1321660800000,0
1321747200000,5
1321833600000,4
1321920000000,6
1322006400000,0
1322092800000,0
1322179200000,4
1322265600000,2
1322352000000,2
1322438400000,2
1322524800000,6
1322611200000,4
1322697600000,3
1322784000000,2
1322870400000,0
1322956800000,2
1323043200000,3
1323129600000,4
1323216000000,5
1323302400000,1
1323388800000,1
1323475200000,2
1323561600000,4
1323648000000,5
1323734400000,3
1323820800000,8
1323907200000,4
1323993600000,1
1324080000000,0
1324166400000,3
1324252800000,2
1324339200000,5
1324425600000,3
1324512000000,4
1324598400000,3
1324684800000,0
1324771200000,0
1324857600000,1
1324944000000,3
1325030400000,4
1325116800000,4
1325203200000,3
1325289600000,2
1325376000000,2
1325462400000,2
1325548800000,4
1325635200000,3
1325721600000,5
1325808000000,3
1325894400000,1
1325980800000,0
1326067200000,3
1326153600000,7
1326240000000,8
1326326400000,5
1326412800000,8
1326499200000,0
1326585600000,3
1326672000000,5
1326758400000,2
1326844800000,8
1326931200000,2
1327017600000,4
1327104000000,0
1327190400000,2
1327276800000,4
1327363200000,2
1327449600000,2
1327536000000,5
1327622400000,5
1327708800000,0
1327795200000,2
1327881600000,5
1327968000000,6
1328054400000,4
1328140800000,24
1328227200000,8
1328313600000,4
1328400000000,5
1328486400000,4
1328572800000,5
1328659200000,1
1328745600000,5
1328832000000,10
1328918400000,3
1329004800000,4
1329091200000,5
1329177600000,12
1329264000000,4
1329350400000,11
1329436800000,12
1329523200000,5
1329609600000,2
1329696000000,6
1329782400000,16
1329868800000,4
1329955200000,8
1330041600000,5
1330128000000,5
1330214400000,9
1330300800000,12
1330387200000,12
1330473600000,5
1330560000000,4
1330646400000,4
1330732800000,4
1330819200000,5
1330905600000,11
1330992000000,6
1331078400000,17
1331164800000,9
1331251200000,4
1331337600000,3
1331424000000,4
1331510400000,10
1331596800000,17
1331683200000,5
1331769600000,8
1331856000000,5
1331942400000,9
1332028800000,7
1332115200000,3
1332201600000,15
1332288000000,1
1332374400000,9
1332460800000,3
1332547200000,1
1332633600000,3
1332720000000,9
1332806400000,15
1332892800000,10
1332979200000,3
1333065600000,9
1333152000000,6
1333238400000,3
1333324800000,34
1333411200000,17
1333497600000,12
1333584000000,11
1333670400000,126
1333756800000,8
1333843200000,8
1333929600000,4
1334016000000,8
1334102400000,18
1334188800000,19
1334275200000,11
1334361600000,17
1334448000000,0
1334534400000,14
1334620800000,16
1334707200000,16
1334793600000,22
1334880000000,14
1334966400000,10
1335052800000,5
1335139200000,9
1335225600000,29
1335312000000,15
1335398400000,23
1335484800000,8
1335571200000,3
1335657600000,2
1335744000000,14
1335830400000,15
1335916800000,5
1336003200000,21
1336089600000,15
1336176000000,11
1336262400000,7
1336348800000,16
1336435200000,22
1336521600000,12
1336608000000,16
1336694400000,22
1336780800000,5
1336867200000,9
1336953600000,11
1337040000000,11
1337126400000,18
1337212800000,16
1337299200000,22
1337385600000,4
1337472000000,7
1337558400000,12
1337644800000,15
1337731200000,17
1337817600000,12
1337904000000,8
1337990400000,7
1338076800000,10
1338163200000,3
1338249600000,22
1338336000000,19
1338422400000,8
1338508800000,12
1338595200000,6
1338681600000,8
1338768000000,14
1338854400000,24
1338940800000,24
1339027200000,26
1339113600000,21
1339200000000,12
1339286400000,6
1339372800000,16
1339459200000,19
1339545600000,36
1339632000000,29
1339718400000,23
1339804800000,9
1339891200000,10
1339977600000,20
1340064000000,20
1340150400000,15
1340236800000,12
1340323200000,20
1340409600000,17
1340496000000,8
1340582400000,29
1340668800000,51
1340755200000,33
1340841600000,26
1340928000000,20
1341014400000,8
1341100800000,8
1341187200000,33
1341273600000,23
1341360000000,26
1341446400000,23
1341532800000,23
1341619200000,23
1341705600000,28
1341792000000,29
1341878400000,37
1341964800000,29
1342051200000,37
1342137600000,44
1342224000000,15
1342310400000,7
1342396800000,45
1342483200000,47
1342569600000,62
1342656000000,31
1342742400000,28
1342828800000,16
1342915200000,24
1343001600000,30
1343088000000,33
1343174400000,40
1343260800000,27
1343347200000,32
1343433600000,19
1343520000000,16
1343606400000,27
1343692800000,22
1343779200000,44
1343865600000,49
1343952000000,41
1344038400000,30
1344124800000,22
1344211200000,42
1344297600000,24
1344384000000,41
1344470400000,44
1344556800000,39
1344643200000,19
1344729600000,22
1344816000000,37
1344902400000,40
1344988800000,22
1345075200000,54
1345161600000,71
1345248000000,57
1345334400000,48
1345420800000,31
1345507200000,56
1345593600000,51
1345680000000,40
1345766400000,48
1345852800000,31
1345939200000,29
1346025600000,67
1346112000000,50
1346198400000,40
1346284800000,33
1346371200000,49
1346457600000,34
1346544000000,27
1346630400000,44
1346716800000,56
1346803200000,49
1346889600000,60
1346976000000,50
1347062400000,35
1347148800000,30
1347235200000,33
1347321600000,75
1347408000000,35
1347494400000,42
1347580800000,36
1347667200000,27
1347753600000,32
1347840000000,31
1347926400000,64
1348012800000,58
1348099200000,40
1348185600000,43
1348272000000,28
1348358400000,48
1348444800000,69
1348531200000,42
1348617600000,47
1348704000000,61
1348790400000,47
1348876800000,26
1348963200000,15
1349049600000,32
1349136000000,57
1349222400000,48
1349308800000,62
1349395200000,61
1349481600000,37
1349568000000,37
1349654400000,51
1349740800000,67
1349827200000,53
1349913600000,67
1350000000000,62
1350086400000,42
1350172800000,34
1350259200000,74
1350345600000,45
1350432000000,55
1350518400000,65
1350604800000,56
1350691200000,15
1350777600000,33
1350864000000,55
1350950400000,75
1351036800000,71
1351123200000,55
1351209600000,52
1351296000000,35
1351382400000,39
1351468800000,76
1351555200000,69
1351641600000,98
1351728000000,54
1351814400000,75
1351900800000,56
1351987200000,51
1352073600000,72
1352160000000,62
1352246400000,93
1352332800000,71
1352419200000,55
1352505600000,31
1352592000000,17
1352678400000,41
1352764800000,56
1352851200000,39
1352937600000,77
1353024000000,103
1353110400000,37
1353196800000,32
1353283200000,84
1353369600000,63
1353456000000,50
1353542400000,115
1353628800000,60
1353715200000,49
1353801600000,37
1353888000000,80
1353974400000,69
1354060800000,70
1354147200000,77
1354233600000,76
1354320000000,33
1354406400000,29
1354492800000,72
1354579200000,84
1354665600000,82
1354752000000,76
1354838400000,84
1354924800000,38
1355011200000,35
1355097600000,53
1355184000000,74
1355270400000,79
1355356800000,76
1355443200000,73
1355529600000,33
1355616000000,33
1355702400000,80
1355788800000,92
1355875200000,85
1355961600000,52
1356048000000,44
1356134400000,36
1356220800000,38
1356307200000,48
1356393600000,33
1356480000000,41
1356566400000,72
1356652800000,69
1356739200000,42
1356825600000,40
1356912000000,44
1356998400000,45
1357084800000,62
1357171200000,55
1357257600000,74
1357344000000,53
1357430400000,37
1357516800000,80
1357603200000,78
1357689600000,69
1357776000000,65
1357862400000,87
1357948800000,52
1358035200000,41
1358121600000,57
1358208000000,96
1358294400000,92
1358380800000,83
1358467200000,94
1358553600000,55
1358640000000,74
1358726400000,109
1358812800000,84
1358899200000,125
1358985600000,115
1359072000000,105
1359158400000,48
1359244800000,60
1359331200000,93
1359417600000,99
1359504000000,104
1359590400000,74
1359676800000,129
1359763200000,72
1359849600000,55
1359936000000,79
1360022400000,97
1360108800000,86
1360195200000,84
1360281600000,88
1360368000000,72
1360454400000,80
1360540800000,104
1360627200000,107
1360713600000,107
1360800000000,158
1360886400000,108
1360972800000,129
1361059200000,119
1361145600000,145
1361232000000,166
1361318400000,139
1361404800000,127
1361491200000,155
1361577600000,94
1361664000000,89
1361750400000,76
1361836800000,147
1361923200000,155
1362009600000,207
1362096000000,158
1362182400000,127
1362268800000,127
1362355200000,161
1362441600000,246
1362528000000,309
1362614400000,342
1362700800000,197
1362787200000,217
1362873600000,138
1362960000000,144
1363046400000,288
1363132800000,256
1363219200000,236
1363305600000,162
1363392000000,123
1363478400000,111
1363564800000,166
1363651200000,316
1363737600000,299
1363824000000,298
1363910400000,323
1363996800000,223
1364083200000,207
