start_time,v
1270857600000,288
1270944000000,247
1271030400000,223
1271116800000,193
1271203200000,206
1271289600000,275
1271376000000,219
1271462400000,233
1271548800000,3345
1271635200000,253
1271721600000,220
1271808000000,237
1271894400000,179
1271980800000,187
1272067200000,183
1272153600000,172
1272240000000,190
1272326400000,210
1272412800000,199
1272499200000,160
1272585600000,160
1272672000000,192
1272758400000,161
1272844800000,168
1272931200000,149
1273017600000,145
1273104000000,155
1273190400000,138
1273276800000,165
1273363200000,169
1273449600000,136
1273536000000,116
1273622400000,133
1273708800000,141
1273795200000,138
1273881600000,94
1273968000000,117
1274054400000,152
1274140800000,192
1274227200000,193
1274313600000,217
1274400000000,192
1274486400000,209
1274572800000,288
1274659200000,226
1274745600000,233
1274832000000,262
1274918400000,231
1275004800000,265
1275091200000,220
1275177600000,186
1275264000000,179
1275350400000,166
1275436800000,177
1275523200000,208
1275609600000,162
1275696000000,169
1275782400000,179
1275868800000,187
1275955200000,212
1276041600000,210
1276128000000,202
1276214400000,234
1276300800000,193
1276387200000,221
1276473600000,232
1276560000000,255
1276646400000,183
1276732800000,188
1276819200000,174
1276905600000,204
1276992000000,222
1277078400000,243
1277164800000,219
1277251200000,251
1277337600000,222
1277424000000,195
1277510400000,186
1277596800000,211
1277683200000,194
1277769600000,229
1277856000000,244
1277942400000,252
1278028800000,202
1278115200000,244
1278201600000,191
1278288000000,207
1278374400000,185
1278460800000,207
1278547200000,208
1278633600000,253
1278720000000,229
1278806400000,432
1278892800000,3323
1278979200000,1733
1279065600000,6478
1279152000000,1518
1279238400000,1330
1279324800000,447
1279411200000,467
1279497600000,605
1279584000000,674
1279670400000,469
1279756800000,434
1279843200000,434
1279929600000,706
1280016000000,1847
1280102400000,461
1280188800000,471
1280275200000,392
1280361600000,387
1280448000000,348
1280534400000,317
1280620800000,397
1280707200000,390
1280793600000,653
1280880000000,460
1280966400000,595
1281052800000,380
1281139200000,275
1281225600000,409
1281312000000,466
1281398400000,341
1281484800000,406
1281571200000,415
1281657600000,566
1281744000000,408
1281830400000,278
1281916800000,465
1282003200000,331
1282089600000,415
1282176000000,316
1282262400000,403
1282348800000,340
1282435200000,346
1282521600000,379
1282608000000,396
1282694400000,355
1282780800000,347
1282867200000,300
1282953600000,350
1283040000000,264
1283126400000,323
1283212800000,411
1283299200000,389
1283385600000,305
1283472000000,339
1283558400000,275
1283644800000,323
1283731200000,277
1283817600000,255
1283904000000,351
1283990400000,312
1284076800000,357
1284163200000,289
1284249600000,372
1284336000000,444
1284422400000,399
1284508800000,417
1284595200000,384
1284681600000,344
1284768000000,379
1284854400000,356
1284940800000,489
1285027200000,922
1285113600000,785
1285200000000,664
1285286400000,528
1285372800000,570
1285459200000,409
1285545600000,654
1285632000000,448
1285718400000,935
1285804800000,419
1285891200000,624
1285977600000,524
1286064000000,387
1286150400000,448
1286236800000,441
1286323200000,420
1286409600000,359
1286496000000,407
1286582400000,445
1286668800000,389
1286755200000,376
1286841600000,402
1286928000000,405
1287014400000,398
1287100800000,362
1287187200000,477
1287273600000,499
1287360000000,643
1287446400000,958
1287532800000,728
1287619200000,557
1287705600000,591
1287792000000,518
1287878400000,530
1287964800000,469
1288051200000,621
1288137600000,666
1288224000000,546
1288310400000,474
1288396800000,424
1288483200000,302
1288569600000,347
1288656000000,294
1288742400000,356
1288828800000,341
1288915200000,428
1289001600000,404
1289088000000,421
1289174400000,517
1289260800000,400
1289347200000,409
1289433600000,392
1289520000000,281
1289606400000,333
1289692800000,417
1289779200000,4164
1289865600000,3030
1289952000000,450
1290038400000,424
1290124800000,354
1290211200000,558
1290297600000,509
1290384000000,374
1290470400000,369
1290556800000,552
1290643200000,591
1290729600000,911
1290816000000,521
1290902400000,504
1290988800000,511
1291075200000,525
1291161600000,647
1291248000000,521
1291334400000,434
1291420800000,496
1291507200000,502
1291593600000,519
1291680000000,678
1291766400000,620
1291852800000,555
1291939200000,458
1292025600000,774
1292112000000,908
1292198400000,910
1292284800000,815
1292371200000,751
1292457600000,641
1292544000000,533
1292630400000,611
1292716800000,676
1292803200000,1027
1292889600000,744
1292976000000,786
1293062400000,681
1293148800000,615
1293235200000,819
1293321600000,720
1293408000000,607
1293494400000,751
1293580800000,600
1293667200000,676
1293753600000,612
1293840000000,750
1293926400000,628
1294012800000,910
1294099200000,766
1294185600000,970
1294272000000,709
1294358400000,863
1294444800000,1036
1294531200000,934
1294617600000,991
1294704000000,1071
1294790400000,881
1294876800000,986
1294963200000,900
1295049600000,993
1295136000000,1053
1295222400000,932
1295308800000,979
1295395200000,1043
1295481600000,1016
1295568000000,1331
1295654400000,1531
1295740800000,1243
1295827200000,1465
1295913600000,983
1296000000000,1044
1296086400000,950
1296172800000,1209
1296259200000,1501
1296345600000,2660
1296432000000,1589
1296518400000,1140
1296604800000,935
1296691200000,816
1296777600000,972
1296864000000,875
1296950400000,916
1297036800000,903
1297123200000,905
1297209600000,1486
1297296000000,2694
1297382400000,3408
1297468800000,2589
1297555200000,2316
1297641600000,2493
1297728000000,2505
1297814400000,2210
1297900800000,2755
1297987200000,2560
1298073600000,1973
1298160000000,2341
1298246400000,2498
1298332800000,2783
1298419200000,2786
1298505600000,2637
1298592000000,2556
1298678400000,2461
1298764800000,2674
1298851200000,2112
1298937600000,3908
1299024000000,2502
1299110400000,3832
1299196800000,2272
1299283200000,2390
1299369600000,2368
1299456000000,2347
1299542400000,2918
1299628800000,2373
1299715200000,2157
1299801600000,2097
1299888000000,2239
1299974400000,2036
1300060800000,1806
1300147200000,2446
1300233600000,2085
1300320000000,2265
1300406400000,2087
1300492800000,2238
1300579200000,3572
1300665600000,3686
1300752000000,2807
1300838400000,5557
1300924800000,3020
1301011200000,2694
1301097600000,3412
1301184000000,2978
1301270400000,3260
1301356800000,3174
1301443200000,2347
1301529600000,2678
1301616000000,1913
1301702400000,2069
1301788800000,2260
1301875200000,2988
1301961600000,2732
1302048000000,2428
1302134400000,2041
1302220800000,2209
1302307200000,2194
1302393600000,2115
1302480000000,2377
1302566400000,2516
1302652800000,2747
1302739200000,4408
1302825600000,2303
1302912000000,2458
1302998400000,2541
1303084800000,3463
1303171200000,4173
1303257600000,3363
1303344000000,2447
1303430400000,2508
1303516800000,2816
1303603200000,2679
1303689600000,3139
1303776000000,4054
1303862400000,5244
1303948800000,3935
1304035200000,4355
1304121600000,5544
1304208000000,4766
1304294400000,3661
1304380800000,3680
1304467200000,3771
1304553600000,4451
1304640000000,4398
1304726400000,4631
1304812800000,3914
1304899200000,4502
1304985600000,4017
1305072000000,4096
1305158400000,4076
1305244800000,5752
1305331200000,5733
1305417600000,5286
1305504000000,8116
1305590400000,6837
1305676800000,8402
1305763200000,7982
1305849600000,7224
1305936000000,6810
1306022400000,6805
1306108800000,7424
1306195200000,8464
1306281600000,9431
1306368000000,8715
1306454400000,6091
1306540800000,6868
1306627200000,6161
1306713600000,7748
1306800000000,8556
1306886400000,8165
1306972800000,9029
1307059200000,10709
1307145600000,12273
1307232000000,10810
1307318400000,12552
1307404800000,11419
1307491200000,15550
1307577600000,16493
1307664000000,14895
1307750400000,14210
1307836800000,16418
1307923200000,15119
1308009600000,18145
1308096000000,16641
1308182400000,17477
1308268800000,15421
1308355200000,16377
1308441600000,16372
1308528000000,14960
1308614400000,14738
1308700800000,15835
1308787200000,14008
1308873600000,14694
1308960000000,12988
1309046400000,14018
1309132800000,17672
1309219200000,15345
1309305600000,14473
1309392000000,13304
1309478400000,20343
1309564800000,23518
1309651200000,13414
1309737600000,13944
1309824000000,12516
1309910400000,15906
1309996800000,14272
1310083200000,14952
1310169600000,14120
1310256000000,19938
1310342400000,15830
1310428800000,13799
1310515200000,17165
1310601600000,18698
1310688000000,15395
1310774400000,14625
1310860800000,15530
1310947200000,15356
1311033600000,15873
1311120000000,15840
1311206400000,16486
1311292800000,15993
1311379200000,14043
1311465600000,14796
1311552000000,17022
1311638400000,14469
1311724800000,14675
1311811200000,16305
1311897600000,14070
1311984000000,12597
1312070400000,15726
1312156800000,15335
1312243200000,12619
1312329600000,9638
1312416000000,10230
1312502400000,13792
1312588800000,12704
1312675200000,12819
1312761600000,13155
1312848000000,14713
1312934400000,10496
1313020800000,9915
1313107200000,9217
1313193600000,11846
1313280000000,13202
1313366400000,10752
1313452800000,11732
1313539200000,11974
1313625600000,11917
1313712000000,14238
1313798400000,12994
1313884800000,14851
1313971200000,16250
1314057600000,14090
1314144000000,13677
1314230400000,14535
1314316800000,12402
1314403200000,11855
1314489600000,11561
1314576000000,11413
1314662400000,9275
1314748800000,8974
1314835200000,8721
1314921600000,8493
1315008000000,7478
1315094400000,9990
1315180800000,9954
1315267200000,10002
1315353600000,8782
1315440000000,8002
1315526400000,8723
1315612800000,7295
1315699200000,8157
1315785600000,8192
1315872000000,7999
1315958400000,7427
1316044800000,8035
1316131200000,7724
1316217600000,6738
1316304000000,7193
1316390400000,8421
1316476800000,13861
1316563200000,9168
1316649600000,10646
1316736000000,13625
1316822400000,12855
1316908800000,13239
1316995200000,11395
1317081600000,12057
1317168000000,7047
1317254400000,6705
1317340800000,7023
1317427200000,6364
1317513600000,6020
1317600000000,7642
1317686400000,7349
1317772800000,6934
1317859200000,7353
1317945600000,6932
1318032000000,6459
1318118400000,6513
1318204800000,7130
1318291200000,7506
1318377600000,7217
1318464000000,6237
1318550400000,7272
1318636800000,6828
1318723200000,6031
1318809600000,6918
1318896000000,5977
1318982400000,6033
1319068800000,5416
1319155200000,6334
1319241600000,6222
1319328000000,7019
1319414400000,7308
1319500800000,6553
1319587200000,6466
1319673600000,5799
1319760000000,6553
1319846400000,6781
1319932800000,6016
1320019200000,6189
1320105600000,7289
1320192000000,7216
1320278400000,7443
1320364800000,7814
1320451200000,7066
1320537600000,6068
1320624000000,6558
1320710400000,7293
1320796800000,7846
1320883200000,7782
1320969600000,6222
1321056000000,6075
1321142400000,6692
1321228800000,7048
1321315200000,7225
1321401600000,7223
1321488000000,5957
1321574400000,6510
1321660800000,4411
1321747200000,4814
1321833600000,4661
1321920000000,5332
1322006400000,5236
1322092800000,4803
1322179200000,5350
1322265600000,4609
1322352000000,5014
1322438400000,6326
1322524800000,7652
1322611200000,7166
1322697600000,7089
1322784000000,6712
1322870400000,5516
1322956800000,5553
1323043200000,6347
1323129600000,8007
1323216000000,6218
1323302400000,5248
1323388800000,5338
1323475200000,5439
1323561600000,4976
1323648000000,4651
1323734400000,5824
1323820800000,5155
1323907200000,4363
1323993600000,4816
1324080000000,4533
1324166400000,4241
1324252800000,5739
1324339200000,6163
1324425600000,5107
1324512000000,5385
1324598400000,5459
1324684800000,4269
1324771200000,5053
1324857600000,5544
1324944000000,5288
1325030400000,4483
1325116800000,5040
1325203200000,4423
1325289600000,4522
1325376000000,4550
1325462400000,5087
1325548800000,5313
1325635200000,5323
