start_time,v
1270818000000,0
1270821600000,100.01
1270825200000,163
1270828800000,0
1270832400000,0
1270836000000,0
1270839600000,600
1270843200000,50
1270846800000,0
1270850400000,8857.550000000001
1270854000000,17476.4
1270857600000,398.99
1270861200000,700.22
1270864800000,200
1270868400000,100
1270872000000,199.91
1270875600000,11870.45
1270879200000,0
1270882800000,94.69
1270886400000,244.69
1270890000000,0
1270893600000,0.1
1270897200000,100
1270900800000,0
1270904400000,0
1270908000000,0
1270911600000,0
1270915200000,300
1270918800000,0
1270922400000,0
1270926000000,0
1270929600000,50
1270933200000,0
1270936800000,350
1270940400000,200
1270944000000,145
1270947600000,0
1270951200000,0
1270954800000,50
1270958400000,0
1270962000000,2
1270965600000,146.75
1270969200000,1
1270972800000,100
1270976400000,50.05
1270980000000,200
1270983600000,0
1270987200000,0
1270990800000,2763
1270994400000,0
1270998000000,0
1271001600000,6367.01
1271005200000,0
1271008800000,902.5
1271012400000,1149.25
1271016000000,50
1271019600000,4056.6
1271023200000,200
1271026800000,0
1271030400000,0
1271034000000,1027
1271037600000,150
1271041200000,55
1271044800000,199.99
1271048400000,13602
1271052000000,6974.79
1271055600000,0
1271059200000,0
1271062800000,0
1271066400000,500
1271070000000,250
1271073600000,200
1271077200000,300
1271080800000,450
1271084400000,250
1271088000000,49.98
1271091600000,2750
1271095200000,0
1271098800000,50
1271102400000,127
1271106000000,0
1271109600000,950
1271113200000,200
1271116800000,600
1271120400000,0
1271124000000,0
1271127600000,0
1271131200000,50
1271134800000,0
1271138400000,0
1271142000000,0
1271145600000,0
1271149200000,0
1271152800000,0
1271156400000,0
1271160000000,100
1271163600000,150
1271167200000,0
1271170800000,150
1271174400000,750
1271178000000,100
1271181600000,100
1271185200000,0
1271188800000,360
1271192400000,0
1271196000000,0
1271199600000,0
1271203200000,381
1271206800000,405
1271210400000,0
1271214000000,50
1271217600000,0
1271221200000,600
1271224800000,0
1271228400000,1000
1271232000000,0
1271235600000,100
1271239200000,422.29
1271242800000,896.5
1271246400000,250.5
1271250000000,0
1271253600000,150
1271257200000,200
1271260800000,0
1271264400000,440
1271268000000,294.59000000000003
1271271600000,0
1271275200000,940.01
1271278800000,300
1271282400000,14
1271286000000,3
1271289600000,55978.2
1271293200000,100
1271296800000,0
1271300400000,550
1271304000000,350
1271307600000,77
1271311200000,50
1271314800000,0
1271318400000,250
1271322000000,200
1271325600000,0
1271329200000,0
1271332800000,150
1271336400000,1000.01
1271340000000,150
1271343600000,31.37
1271347200000,500
1271350800000,42957.94
1271354400000,10500.2
1271358000000,50
1271361600000,0
1271365200000,66.79
1271368800000,193.79
1271372400000,170
1271376000000,33.21
1271379600000,5000
1271383200000,0
1271386800000,0
1271390400000,0
1271394000000,150.01
1271397600000,0
1271401200000,368.63
1271404800000,250
1271408400000,100
1271412000000,0
1271415600000,50
1271419200000,350
1271422800000,0
1271426400000,700
1271430000000,150
1271433600000,199
1271437200000,0
1271440800000,3009.5
1271444400000,1864.14
1271448000000,538.19
1271451600000,50
1271455200000,100
1271458800000,0
